Sample ID	Run #	Position	Sample Timestamp	Tray Timestamp	Area	Depth	Inclination: Unrotated	Inclination: Sample Rotated	Inclination: Formation Rotated	Declination: Unrotated	Declination: Sample Rotated	Declination: Formation Rotated	Intensity	Sample Azimiuth	Sample Dip	Formation Dip Azimuth	Formation Dip	Mag Dev	X intensity	X meter	X mean	X corr	X std dev	Y intensity	Y meter	Y mean	Y corr	Y std dev	Z intensity	Z meter	Z mean	Z corr	Z std dev	# MM averaged	X drift	Y drift	Z drift	MM drift time	X bkg #1	X bkg #2	Y bkg #1	Y bkg #2	Z bkg #1	Z bkg #2	Bkg #1 time	Bkg #2 time	MS mean	MS corr	MS std dev	# MS averaged	MS drift	MS drift time	MS bkg #1	MS bkg #2	MS bkg #1 time	MS bkg #2 time	MS range	MS unit	Treatment Type	AF X	AF Y	AF Z	ARM Gauss	ARM axis	IRM Gauss	Temp C	Offline Comment	Meas. type	Data type	Orientation	Leader length	Trailer length	Settling time	Drift corrected	Tray corrected	X calib	Y calib	Z calib	X responce	Y responce	Z responce	X filter	Y filter	Z filter	X range	Y range	Z range	X slew	Y slew	Z slew	X feedback	Y feedback	Z feedback
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -9.8	10/24/20 1501	10/23/20 1500	1.00	 -0.10	 -3.52	-32.48	-32.48	268.29	107.96	107.96	 1.4651E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.3596E-10	 1.1900E-03	 4.3064E-08	-4.3596E-10	 0.0000E+00	-1.4617E-08	-9.1000E-04	 1.5756E-08	-1.4617E-08	 0.0000E+00	-9.0000E-10	 9.5000E-04	 2.3982E-09	-9.0000E-10	 0.0000E+00	 1	-7.4167E-11	-2.0546E-10	 2.9485E-09	   5378	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -9.6	10/24/20 1501	10/23/20 1500	1.00	 -0.10	-16.01	-61.62	-61.62	278.87	353.92	353.92	 1.6974E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 2.5158E-09	 1.0000E-03	 3.8441E-08	 2.5158E-09	 0.0000E+00	-1.6120E-08	-1.0400E-03	 1.2605E-08	-1.6120E-08	 0.0000E+00	-4.6821E-09	 1.0100E-03	 3.4260E-09	-4.6821E-09	 0.0000E+00	 1	-1.2179E-10	-3.3738E-10	 4.8416E-09	   8831	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -9.4	10/24/20 1501	10/23/20 1500	1.00	 -0.09	-19.39	-57.32	-57.32	281.15	328.91	328.91	 1.9305E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 3.5211E-09	 9.9000E-04	 3.8198E-08	 3.5211E-09	 0.0000E+00	-1.7866E-08	-1.0900E-03	 1.1393E-08	-1.7866E-08	 0.0000E+00	-6.4108E-09	 1.0600E-03	 4.2825E-09	-6.4108E-09	 0.0000E+00	 1	-1.6946E-10	-4.6945E-10	 6.7368E-09	  12288	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -9.2	10/24/20 1501	10/23/20 1500	1.00	 -0.09	-30.02	-83.81	-83.81	273.29	 23.70	 23.70	 1.7640E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 8.7698E-10	 8.2000E-04	 3.4062E-08	 8.7698E-10	 0.0000E+00	-1.5249E-08	-1.0600E-03	 1.2120E-08	-1.5249E-08	 0.0000E+00	-8.8241E-09	 1.1400E-03	 5.6529E-09	-8.8241E-09	 0.0000E+00	 1	-2.1712E-10	-6.0148E-10	 8.6316E-09	  15744	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -9.0	10/24/20 1501	10/23/20 1500	1.00	 -0.09	-33.77	-80.98	-80.98	272.22	291.44	291.44	 2.0751E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 6.6898E-10	 7.5000E-04	 3.2359E-08	 6.6898E-10	 0.0000E+00	-1.7237E-08	-1.1700E-03	 9.4536E-09	-1.7237E-08	 0.0000E+00	-1.1533E-08	 1.2300E-03	 7.1946E-09	-1.1533E-08	 0.0000E+00	 1	-2.6792E-10	-7.4218E-10	 1.0651E-08	  19427	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -8.8	10/24/20 1501	10/23/20 1500	1.00	 -0.09	-41.52	-87.53	-87.53	269.90	 92.73	 92.73	 1.9851E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.7019E-11	 6.9000E-04	 3.0899E-08	-2.7019E-11	 0.0000E+00	-1.4863E-08	-1.0100E-03	 1.3332E-08	-1.4863E-08	 0.0000E+00	-1.3159E-08	 1.3600E-03	 9.4215E-09	-1.3159E-08	 0.0000E+00	 1	-3.1731E-10	-8.7903E-10	 1.2615E-08	  23009	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -8.6	10/24/20 1501	10/23/20 1500	1.00	 -0.09	-42.77	-82.33	-82.33	265.07	226.40	226.40	 2.3038E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.4529E-09	 6.0000E-04	 2.8709E-08	-1.4529E-09	 0.0000E+00	-1.6851E-08	-1.1300E-03	 1.0423E-08	-1.6851E-08	 0.0000E+00	-1.5643E-08	 1.4600E-03	 1.1134E-08	-1.5643E-08	 0.0000E+00	 1	-3.6676E-10	-1.0160E-09	 1.4580E-08	  26594	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -8.4	10/24/20 1501	10/23/20 1500	1.00	 -0.08	-45.43	-79.85	-79.85	263.91	234.29	234.29	 2.5609E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.9069E-09	 5.4000E-04	 2.7250E-08	-1.9069E-09	 0.0000E+00	-1.7870E-08	-1.2200E-03	 8.2416E-09	-1.7870E-08	 0.0000E+00	-1.8244E-08	 1.5000E-03	 1.1820E-08	-1.8244E-08	 0.0000E+00	 1	-4.1482E-10	-1.1491E-09	 1.6491E-08	  30079	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -8.2	10/24/20 1501	10/23/20 1500	1.00	 -0.08	-52.36	-87.35	-87.35	268.52	244.52	244.52	 2.6174E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.1323E-10	 5.9000E-04	 2.8466E-08	-4.1323E-10	 0.0000E+00	-1.5980E-08	-1.1000E-03	 1.1150E-08	-1.5980E-08	 0.0000E+00	-2.0726E-08	 1.6300E-03	 1.4047E-08	-2.0726E-08	 0.0000E+00	 1	-4.6420E-10	-1.2859E-09	 1.8454E-08	  33660	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -8.0	10/24/20 1501	10/23/20 1500	1.00	 -0.08	-50.80	-78.68	-78.68	262.28	236.81	236.81	 3.0240E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.5676E-09	 5.6000E-04	 2.7736E-08	-2.5676E-09	 0.0000E+00	-1.8938E-08	-1.2000E-03	 8.7264E-09	-1.8938E-08	 0.0000E+00	-2.3436E-08	 1.6400E-03	 1.4218E-08	-2.3436E-08	 0.0000E+00	 1	-5.1502E-10	-1.4267E-09	 2.0474E-08	  37345	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -7.8	10/24/20 1501	10/23/20 1500	1.00	 -0.08	-54.06	-80.01	-80.01	262.30	236.56	236.56	 3.2227E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.5336E-09	 5.7000E-04	 2.7979E-08	-2.5336E-09	 0.0000E+00	-1.8744E-08	-1.1700E-03	 9.4536E-09	-1.8744E-08	 0.0000E+00	-2.6092E-08	 1.7400E-03	 1.5931E-08	-2.6092E-08	 0.0000E+00	 1	-5.6449E-10	-1.5637E-09	 2.2441E-08	  40932	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -7.6	10/24/20 1501	10/23/20 1500	1.00	 -0.08	-61.28	-87.30	-87.30	265.08	185.12	185.12	 3.1154E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-1.2846E-09	 5.8000E-04	 2.8223E-08	-1.2846E-09	 0.0000E+00	-1.4915E-08	-1.0400E-03	 1.2605E-08	-1.4915E-08	 0.0000E+00	-2.7322E-08	 1.7800E-03	 1.6616E-08	-2.7322E-08	 0.0000E+00	 1	-6.1254E-10	-1.6968E-09	 2.4351E-08	  44416	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -7.4	10/24/20 1501	10/23/20 1500	1.00	 -0.07	-60.51	-86.15	-86.15	269.05	261.96	261.96	 3.3847E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-2.7749E-10	 5.5000E-04	 2.7493E-08	-2.7749E-10	 0.0000E+00	-1.6661E-08	-1.0600E-03	 1.2120E-08	-1.6661E-08	 0.0000E+00	-2.9461E-08	 1.8300E-03	 1.7473E-08	-2.9461E-08	 0.0000E+00	 1	-6.6192E-10	-1.8337E-09	 2.6314E-08	  47997	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -7.2	10/24/20 1501	10/23/20 1500	1.00	 -0.07	-70.36	-83.45	-83.45	265.01	105.69	105.69	 3.3249E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-9.7209E-10	 4.8000E-04	 2.5790E-08	-9.7209E-10	 0.0000E+00	-1.1135E-08	-9.1000E-04	 1.5756E-08	-1.1135E-08	 0.0000E+00	-3.1314E-08	 1.8400E-03	 1.7644E-08	-3.1314E-08	 0.0000E+00	 1	-7.1273E-10	-1.9744E-09	 2.8334E-08	  51681	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -7.0	10/24/20 1501	10/23/20 1500	1.00	 -0.07	-73.97	-81.36	-81.36	267.27	 95.18	 95.18	 3.4396E-08	  0.00	 90.00	  0.00	  0.00	  0.00	-4.5292E-10	 4.5000E-04	 2.5060E-08	-4.5292E-10	 0.0000E+00	-9.4874E-09	-8.5000E-04	 1.7210E-08	-9.4874E-09	 0.0000E+00	-3.3059E-08	 1.8600E-03	 1.7987E-08	-3.3059E-08	 0.0000E+00	 1	-7.6080E-10	-2.1076E-09	 3.0245E-08	  55167	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -6.8	10/24/20 1501	10/23/20 1500	1.00	 -0.07	-77.65	-78.90	-78.90	279.59	 79.28	 79.28	 3.6033E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 1.2841E-09	 4.5000E-04	 2.5060E-08	 1.2841E-09	 0.0000E+00	-7.5972E-09	-6.6000E-04	 2.1816E-08	-7.5972E-09	 0.0000E+00	-3.5200E-08	 1.8300E-03	 1.7473E-08	-3.5200E-08	 0.0000E+00	 1	-8.1024E-10	-2.2445E-09	 3.2211E-08	  58752	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -6.6	10/24/20 1501	10/23/20 1500	1.00	 -0.07	-81.56	-75.86	-75.86	284.15	 81.72	 81.72	 3.6709E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 1.3174E-09	 3.9000E-04	 2.3600E-08	 1.3174E-09	 0.0000E+00	-5.2242E-09	-5.7000E-04	 2.3998E-08	-5.2242E-09	 0.0000E+00	-3.6311E-08	 1.8400E-03	 1.7644E-08	-3.6311E-08	 0.0000E+00	 1	-8.5961E-10	-2.3813E-09	 3.4173E-08	  62332	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -6.4	10/24/20 1501	10/23/20 1500	1.00	 -0.06	-86.09	-72.62	-72.62	306.91	 82.46	 82.46	 3.8941E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 1.5955E-09	 3.0000E-04	 2.1410E-08	 1.5955E-09	 0.0000E+00	-2.1242E-09	-3.9000E-04	 2.8361E-08	-2.1242E-09	 0.0000E+00	-3.8850E-08	 1.7800E-03	 1.6616E-08	-3.8850E-08	 0.0000E+00	 1	-9.1042E-10	-2.5220E-09	 3.6193E-08	  66016	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -6.2	10/24/20 1501	10/23/20 1500	1.00	 -0.06	-86.10	-72.44	-72.44	328.48	 79.42	 79.42	 4.0689E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 2.3580E-09	 2.1000E-04	 1.9221E-08	 2.3580E-09	 0.0000E+00	-1.4463E-09	-2.8000E-04	 3.1027E-08	-1.4463E-09	 0.0000E+00	-4.0595E-08	 1.7500E-03	 1.6102E-08	-4.0595E-08	 0.0000E+00	 1	-9.5851E-10	-2.6553E-09	 3.8105E-08	  69503	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -6.0	10/24/20 1501	10/23/20 1500	1.00	 -0.06	-84.30	-66.88	-66.88	 66.59	 84.67	 84.67	 4.2087E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 1.6620E-09	 8.0000E-05	 1.6058E-08	 1.6620E-09	 0.0000E+00	 3.8381E-09	-1.8000E-04	 3.3451E-08	 3.8381E-09	 0.0000E+00	-4.1879E-08	 1.7400E-03	 1.5931E-08	-4.1879E-08	 0.0000E+00	 1	-1.0079E-09	-2.7921E-09	 4.0069E-08	  73086	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -5.8	10/24/20 1501	10/23/20 1500	1.00	 -0.06	-80.49	-64.70	-64.70	 68.96	 82.69	 82.69	 4.4980E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 2.6691E-09	-7.0000E-05	 1.2408E-08	 2.6691E-09	 0.0000E+00	 6.9394E-09	-3.0000E-05	 3.7087E-08	 6.9394E-09	 0.0000E+00	-4.4361E-08	 1.6800E-03	 1.4903E-08	-4.4361E-08	 0.0000E+00	 1	-1.0573E-09	-2.9290E-09	 4.2033E-08	  76668	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -5.6	10/24/20 1501	10/23/20 1500	1.00	 -0.06	-72.03	-58.46	-58.46	 73.00	 81.11	 81.11	 4.8815E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 4.4044E-09	-1.5000E-04	 1.0462E-08	 4.4044E-09	 0.0000E+00	 1.4405E-08	 2.0000E-04	 4.2662E-08	 1.4405E-08	 0.0000E+00	-4.6433E-08	 1.6600E-03	 1.4561E-08	-4.6433E-08	 0.0000E+00	 1	-1.1050E-09	-3.0611E-09	 4.3928E-08	  80125	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
Point-Source_Position-10+Z_2mm_24-10-2017_SmallSRM_YJ	  1091	 -5.4	10/24/20 1501	10/23/20 1500	1.00	 -0.05	-69.28	-56.67	-56.67	 71.62	 79.55	 79.55	 5.0709E-08	  0.00	 90.00	  0.00	  0.00	  0.00	 5.6562E-09	-2.7000E-04	 7.5423E-09	 5.6562E-09	 0.0000E+00	 1.7023E-08	 3.2000E-04	 4.5571E-08	 1.7023E-08	 0.0000E+00	-4.7430E-08	 1.6900E-03	 1.5074E-08	-4.7430E-08	 0.0000E+00	 1	-1.1558E-09	-3.2019E-09	 4.5949E-08	  83811	-1.4111E-08	-2.4087E-08	-3.7814E-08	-6.5448E-08	 1.3875E-08	 4.1043E-07	      0	 723325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	None	   0	   0	   0	NA	NA	NA	NA	NA	SAMPLE/CONTINUOUS	LEADER	Normal +X +Y	10	10	 1	YES	YES	 2.4300E-05	 2.4200E-05	 1.7100E-05	1.00	1.00	1.00	1 Hz	1 Hz	1 Hz	1 x	1 x	1 x	Slow	Slow	Slow	Close	Close	Close
